"Product UID","Name","Price","Discounted Price","Meal Time","Meal Type","Goal","Category","Subcategory","Display in alacart","status","Description"
"VFHS","VEG FARMHOUSE SANDWICH","180","170","BLSD","Veg","Weight Loss","SANDWICHES","VEG SANDWICHES","Yes","Active","Whole wheat loaf stuffed with exotic veggies and delicious inhouse sauce"
"VSPS","VEG SMOKED PANEER SANDWICH","180","170","BLSD","Veg","Weight Loss","SANDWICHES","VEG SANDWICHES","Yes","Active","Whole wheat loaf stuffed with smoked paneer and delicious inhouse sauce"
"VMS","VEG MUSHROOM SANDWICH","180","170","BLSD","Veg","Weight Loss","SANDWICHES","VEG SANDWICHES","Yes","Active","Whole wheat loaf stuffed with mushroom and exotic veggies prepared in mushroom sauce"
"VCS","VEG CILANTRO SANDWICH","180","170","BLSD","Veg","Weight Loss","SANDWICHES","VEG SANDWICHES","Yes","Active","Whole wheat loaf stuffed with exotic veggies prepared in cilantro sauce"
"VPS","VEG PESTO SANDWICH","180","170","BLSD","Veg","Weight Loss","SANDWICHES","VEG SANDWICHES","Yes","Active","whole wheat loaf stuffed with exotic veggies prepared in pesto sauce"
"CAS","CHICKEN ALFREDO SANDWICH","200","190","BLSD","Chicken","Weight Loss","SANDWICHES","CHICKEN SANDWICHES","Yes","Active","Whole wheat loaf stuffed with chicken and exotic veggies prepared in white sauce"
"SCS","SMOKED CHICKEN SANDWICH","200","190","BLSD","Chicken","Weight Loss","SANDWICHES","CHICKEN SANDWICHES","Yes","Active","whole wheat loaf stuffed with smoked chicken and delicious sauce"
"CCS","CILANTRO CHICKEN SANDWICH","200","190","BLSD","Chicken","Weight Loss","SANDWICHES","CHICKEN SANDWICHES","Yes","Active","Whole wheat loaf stuffed with smoked chicken and delicious mushroom sauce"
"PCS","PESTO CHICKEN SANDWICH","200","190","BLSD","Chicken","Weight Loss","SANDWICHES","CHICKEN SANDWICHES","Yes","Active","whole wheat loaf stuffed with juicy grilled chicken and delicious cilantro sauce"
"CMS","CHICKEN MUSHROOM SANDWICH","200","190","BLSD","Chicken","Weight Loss","SANDWICHES","CHICKEN SANDWICHES","Yes","Active","whole wheat loaf stuffed with juicy grilled chicken and delicious pesto sauce"
"OCS","OMELETTE CHICKEN SANDWICH","200","190","BLSD","Chicken","Weight Loss","SANDWICHES","CHICKEN SANDWICHES","Yes","Active","whole wheat loaf stuffed with juicy grilled chicken and Omelette in delicious sauce"
"BES","BOILED EGG SANDWICH","190","180","BLSD","Eagen","Weight Loss","SANDWICHES","EGG SANDWICHES","Yes","Active","whole wheat loaf stuffed wIith boiled eggs and delicious sauce"
"OS","OMELETTE SANDWICH","190","180","BLSD","Eagen","Weight Loss","SANDWICHES","EGG SANDWICHES","Yes","Active","whole wheat loaf stuffed wIith omelette and delicious sauce"
"FS","FISH SANDWICH","220","200","BLSD","Pescatarian","Weight Loss","SANDWICHES","PESCATARIAN SANDWICHES","No","Active","Whole wheat loaf stuffed with fish, veggies and delicious dressing"
"VS","VEGAN SANDWICH","180","170","BLSD","Vegan","Weight Loss","SANDWICHES","VEGAN SANDWICHES","Yes","Active","Whole wheat loaf stuffed with tofu and dairy free sauce"
"ECS","EGG CILANTRO SANDWICH","190","180","BLSD","Eagen","Weight Loss","SANDWICHES","EGG SANDWICHES","Yes","Active","whole wheat loaf stuffed with eggs and delicious cilantro sauce"
"EPS","EGG PESTO SANDWICH","190","180","BLSD","Eagen","Weight Loss","SANDWICHES","EGG SANDWICHES","Yes","Active","whole wheat loaf stuffed with eggs and delicious pesto sauce"
"FPS","FISH PESTO SANDWICH","220","200","BLSD","Pescatarian","Weight Loss","SANDWICHES","PESCATARIAN SANDWICHES","Yes","Active","whole wheat loaf stuffed with grilled fish and delicious pesto sauce"
"FCS","FISH CILANTRO SANDWICH","220","200","BLSD","Pescatarian","Weight Loss","SANDWICHES","PESCATARIAN SANDWICHES","Yes","Active","whole wheat loaf stuffed with grilled fish and delicious cilantro sauce"
"VCS","VEGAN CILANTRO SANDWICH","180","170","BLSD","Vegan","Weight Loss","SANDWICHES","PESCATARIAN SANDWICHES","Yes","Active","whole wheat loaf stuffed with grilled tofu and delicious cilantro sauce"
"VPS","VEGAN PESTO SANDWICH","180","170","BLSD","Vegan","Weight Loss","SANDWICHES","VEGAN SANDWICHES","Yes","Active","whole wheat loaf stuffed with grilled tofu and delicious pesto sauce"
"VGS","GREEK VEG SALAD","170","160","BLSD","Veg","Weight Loss","SALAD","VEG SALAD","Yes","Active","Delicious VEG SALAD with cucumber, cherry tomatoes, lettuce , served with herb vinaigrette dressing"
"VCS","CHANA VEG SALAD","170","160","LSD","Veg","Weight Loss","SALAD","VEG SALAD","No","Active","Tasty and nutritious VEG SALAD served with lime and other spices"
"VSVS","SAUTE VEGGIES VEG SALAD","170","160","LSD","Veg","Weight Loss","SALAD","VEG SALAD","Yes","Active","Exotic veggies sauteed in olive oil and sprinkled with italian seasonings"
"VCS","CORN VEG SALAD","170","160","LSD","Veg","Weight Loss","SALAD","VEG SALAD","No","Active","Corn veg salad served with olive oil and italian spices"
"VPS","PASTA VEG SALAD","170","160","LSD","Veg","Weight Loss","SALAD","VEG SALAD","Yes","Active","Whole wheat pasta served with veggies and olives"
"VSS","SOYA VEG SALAD","170","160","LSD","Veg","Weight Loss","SALAD","VEG SALAD","Yes","Active","Healthy soya beans served with exotic veggies in italian seasonings"
"VSPS","SPROUTS VEG SALAD","170","160","LSD","Veg","Weight Loss","SALAD","VEG SALAD","Yes","Active","Sprouts sauteed in olive oil and mixed with veggies served with vinegar and lime"
"VTBS","THREE BEANS VEG SALAD","170","160","LSD","Veg","Weight Loss","SALAD","VEG SALAD","Yes","Active","VEG SALAD with a mix of chana,kidney beans, chick peas sauteed in olive oil and mixed with exotic veggies and fresh seasonings"
"VCRS","CAESAR VEG SALAD","170","160","LSD","Veg","Weight Loss","SALAD","VEG SALAD","Yes","Active","VEG SALAD served with croutons and fresh exotic veggies with non fattening dressing makes it healthy and tasty"
"VQS","QUINOA VEG SALAD","170","160","LSD","Veg","Weight Loss","SALAD","VEG SALAD","Yes","Active","Quinoa served with exotic veggies served with italian herbs makes it delicuous and filling"
"VFS","FRUIT VEG SALAD","170","160","LSD","Veg","Weight Loss","SALAD","VEG SALAD","Yes","Active","fruits served with a dash of nuts and honey gives a great twist to this VEG SALAD"
"VES","ENERGY VEG SALAD","170","160","LSD","Veg","Weight Loss","SALAD","VEG SALAD","Yes","Active","sprouts, veggies, cucumber and tomatoes make this VEG SALAD sumptuous and delicious."
"CGS","CHICKEN GREEK SALAD","200","190","LSD","Chicken","Weight Loss","SALAD","CHICKEN SALAD","Yes","Active","Delicious chicken SALAD with juicy grilled chicken ,cucumber, cherry tomatoes, lettuce , served with herb vinaigrette dressing"
"CCS","CHICKEN CHANA SALAD","200","190","LSD","Chicken","Weight Loss","SALAD","CHICKEN SALAD","Yes","Active","Delicious chicken SALAD with juicy grilled chicken ,boiled chana,cucumber, exotic veggies and lettuce , served with herb vinaigrette dressing"
"CSV","CHICKEN SAUTE VEGGIES SALAD","200","190","LSD","Chicken","Weight Loss","SALAD","CHICKEN SALAD","Yes","Active","Delicious chicken SALAD with juicy grilled chicken ,exotic veggies served with olive oil dressing"
"CTBS","CHICKEN THREE BEANS SALAD","200","190","LSD","Chicken","Weight Loss","SALAD","CHICKEN SALAD","Yes","Active","Delicious chicken SALAD with juicy grilled chicken ,exotic veggies, 3 beans served with olive oil dressing"
"CPS","CHICKEN PASTA SALAD","200","190","LSD","Chicken","Weight Loss","SALAD","CHICKEN SALAD","Yes","Active","Delicious chicken SALAD with juicy grilled chicken ,pasta whole wheat,exotic veggies served with olive oil dressing"
"CQS","CHICKEN QUINOA SALAD","200","190","LSD","Chicken","Weight Loss","SALAD","CHICKEN SALAD","Yes","Active","Delicious chicken SALAD with juicy grilled chicken ,quinoa,exotic veggies served with olive oil dressing"
"CCRS","CHICKEN CAESAR SALAD","200","190","LSD","Chicken","Weight Loss","SALAD","CHICKEN SALAD","Yes","Active","Delicious chicken SALAD with juicy grilled chicken ,exotic veggies served with croutons and healthy dressing"
"EGS","EGG GREEK SALAD","190","180","LSD","Eagen","Weight Loss","SALAD","EGG SALAD","Yes","Active","Delicious egg SALAD with boiled eggs,,cucumber, cherry tomatoes, lettuce , served with herb vinaigrette dressing"
"ECS","EGG CHANA SALAD","190","180","LSD","Eagen","Weight Loss","SALAD","EGG SALAD","Yes","Active","Delicious egg SALAD with eggs, boiled chana,cucumber, exotic veggies and lettuce , served with herb vinaigrette dressing"
"ESV","EGG SAUTE VEGGIES SALAD","190","180","LSD","Eagen","Weight Loss","SALAD","EGG SALAD","Yes","Active","Delicious egg SALAD with boiled eggs ,exotic veggies served with olive oil dressing"
"ETBS","EGG THREE BEANS SALAD","190","180","LSD","Eagen","Weight Loss","SALAD","EGG SALAD","Yes","Active","Delicious egg SALAD with boiled eggs,exotic veggies, 3 beans served with olive oil dressing"
"EPS","EGG PASTA SALAD","190","180","LSD","Eagen","Weight Loss","SALAD","EGG SALAD","Yes","Active","Delicious egg SALAD with eggs ,pasta whole wheat, exotic veggies served with olive oil dressing"
"EQS","EGG QUINOA SALAD","190","180","LSD","Eagen","Weight Loss","SALAD","EGG SALAD","Yes","Active","Delicious egg SALAD with eggs,quinoa,exotic veggies served with olive oil dressing"
"ECRS","EGG CAESAR SALAD","190","180","LSD","Eagen","Weight Loss","SALAD","EGG SALAD","Yes","Active","Delicious egg SALAD with eggs ,exotic veggies served with croutons and healthy dressing"
"VEGS","VEGAN GREEK SALAD","170","160","LSD","Eagen","Weight Loss","SALAD","VEGAN SALAD","Yes","Active","Delicious VEGAN SALAD with tofu,cucumber, cherry tomatoes, lettuce , served with herb vinaigrette dressing"
"VECS","VEGAN CHANA SALAD","170","160","LSD","Eagen","Weight Loss","SALAD","VEGAN SALAD","Yes","Active","Delicious VEGAN SALAD with tofu boiled chana,cucumber, exotic veggies and lettuce , served with herb vinaigrette dressing"
"VESV","VEGAN SAUTE VEGGIES SALAD","170","160","LSD","Eagen","Weight Loss","SALAD","VEGAN SALAD","Yes","Active","Delicious VEGAN SALAD with tofu,exotic veggies served with olive oil dressing"
"VETBS","VEGAN THREE BEANS SALAD","170","160","LSD","Eagen","Weight Loss","SALAD","VEGAN SALAD","Yes","Active","Delicious VEGAN SALAD with tofu,exotic veggies, 3 beans served with olive oil dressing"
"VEPS","VEGAN PASTA SALAD","170","160","LSD","Eagen","Weight Loss","SALAD","VEGAN SALAD","Yes","Active","Delicious VEGAN SALAD with tofu ,pasta whole wheat, exotic veggies served with olive oil dressing"
"VEQS","VEGAN QUINOA SALAD","170","160","LSD","Eagen","Weight Loss","SALAD","VEGAN SALAD","Yes","Active","Delicious VEGAN SALAD with tofu,quinoa,exotic veggies served with olive oil dressing"
"VECRS","VEGAN CAESAR SALAD","170","160","LSD","Eagen","Weight Loss","SALAD","VEGAN SALAD","Yes","Active","Delicious VEGAN SALAD with tofu ,exotic veggies served with croutons and healthy dressing"
"F/PGSS","FISH/PRAWNS GREEK SALAD","220","200","LSD","Pescatarian","Weight Loss","SALAD","PESCATARIAN SALAD","Yes","Active","Delicious fish/prawns SALAD with fish/prawns,cucumber, cherry tomatoes, lettuce , served with herb vinaigrette dressing"
"F/PCSS","FISH/PRAWNS CHANA SALAD","220","200","LSD","Pescatarian","Weight Loss","SALAD","PESCATARIAN SALAD","Yes","Active","Delicious fish/prawns SALAD with fish/prawns boiled chana,cucumber, exotic veggies and lettuce , served with herb vinaigrette dressing"
"F/PSVS","FISH/PRAWNS SAUTE VEGGIES SALAD","220","200","LSD","Pescatarian","Weight Loss","SALAD","PESCATARIAN SALAD","Yes","Active","Delicious fish/prawns SALAD with fish/prawns,exotic veggies served with olive oil dressing"
"F/PTBS","FISH/PRAWNS THREE BEANS SALAD","220","200","LSD","Pescatarian","Weight Loss","SALAD","PESCATARIAN SALAD","Yes","Active","Delicious fish/prawns SALAD with tfish/prawns exotic veggies, 3 beans served with olive oil dressing"
"F/PPS","FISH/PRAWNS PASTA SALAD","220","200","LSD","Pescatarian","Weight Loss","SALAD","PESCATARIAN SALAD","Yes","Active","Delicious fish/prawns SALAD with fish/prawns ,pasta whole wheat, exotic veggies served with olive oil dressing"
"F/PQS","FISH/PRAWNS QUINOA SALAD","220","200","LSD","Pescatarian","Weight Loss","SALAD","PESCATARIAN SALAD","Yes","Active","Delicious fish/prawns SALAD with fish/prawns,quinoa,exotic veggies served with olive oil dressing"
"F/PCRS","FISH/PRAWNS CAESAR SALAD","220","200","LSD","Pescatarian","Weight Loss","SALAD","PESCATARIAN SALAD","Yes","Active","Delicious fish/prawns SALAD with fish/prawns ,exotic veggies served with croutons and healthy dressing"
"GFGS","GLUTEN FREE GREEK SALAD","170","160","LSD","Gluten Free","Weight Loss","SALAD","GLUTEN FREE SALAD","Yes","Active","Delicious gluten free SALAD with cucumber, cherry tomatoes, lettuce , served with herb vinaigrette dressing"
"GFCS","GLUTEN FREE CHANA SALAD","170","160","LSD","Gluten Free","Weight Loss","SALAD","GLUTEN FREE SALAD","Yes","Active","Tasty and nutritious gluten free SALAD served with lime and other spices"
"GFSVS","GLUTEN FREE SAUTE VEGGIES SALAD","170","160","LSD","Gluten Free","Weight Loss","SALAD","GLUTEN FREE SALAD","Yes","Active","Exotic veggies sauteed in olive oil and sprinkled with italian seasonings"
"GFTBS","GLUTEN FREE THREE BEANS SALAD","170","160","LSD","Gluten Free","Weight Loss","SALAD","GLUTEN FREE SALAD","Yes","Active","Delicious gluten free SALAD with cucumber, cherry tomatoes, lettuce , served with herb vinaigrette dressing"
"GFPS","GLUTEN FREE PASTA SALAD","170","160","LSD","Gluten Free","Weight Loss","SALAD","GLUTEN FREE SALAD","Yes","Active","quinoa pasta gluten free SALAD served with exotic veggies and italian seasonings"
"GFQS","GLUTEN FREE QUINOA SALAD","170","160","LSD","Gluten Free","Weight Loss","SALAD","GLUTEN FREE SALAD","Yes","Active","Healthy quinoa served with exotic veggies in italian seasonings"
"GFSPS","GLUTENFREE SPROUTS SALAD","170","160","LSD","Gluten Free","Weight Loss","SALAD","GLUTEN FREE SALAD","Yes","Active","Sprouts sauteed in olive oil and mixed with veggies served with vinegar and lime"
"GFCRS","GLUTENFREE CAESAR SALAD","170","160","LSD","Gluten Free","Weight Loss","SALAD","GLUTEN FREE SALAD","Yes","Active","Delicious gluten free SALAD with cucumber, cherry tomatoes, lettuce , served with herb vinaigrette dressing"
"CSPS","CHICKEN SPROUTS SALAD","200","190","LSD","Gluten Free","Weight Loss","SALAD","GLUTEN FREE SALAD","Yes","Active","Juicy chicken pieces mixed with sprouts and exotic veggies is a perfect VEGAN SALAD for the day"
"ESPS","EGG SPROUTS SALAD","190","180","LSD","Gluten Free","Weight Loss","SALAD","GLUTEN FREE SALAD","Yes","Active","egg pieces mixed with sprouts and exotic veggies make it a perfect tasty and healthy VEGAN SALAD"
"VCSO","VEG CLEAR SOUP","120","100","LSD","Veg","Weight Loss","SOUPS","VEG SOUP","Yes","Active","Delicious soup with veggies and italian seasonings perfect for a healthy meal"
"VSCSO","VEG SPINACH CORN SOUP","120","100","LSD","Veg","Weight Loss","SOUPS","VEG SOUP","Yes","Active","Soup prepared with fresh spinach puree tempered with garlic and olive oil, with no colour, preservative or thickener"
"VPUSO","VEG PUMPKIN SOUP","120","100","LSD","Veg","Weight Loss","SOUPS","VEG SOUP","Yes","Active","Soup prepared with fresh pumpkin puree tempered with garlic and olive oil, with no colour, preservative or thickener"
"VBROSO","VEG BROCCOLI SOUP","120","100","LSD","Veg","Weight Loss","SOUPS","VEG SOUP","Yes","Active","Soup prepared with fresh broccoli puree tempered with garlic and olive oil, with no colour, preservative or thickener"
"VTOSO","VEG TOMATO SOUP","120","100","LSD","Veg","Weight Loss","SOUPS","VEG SOUP","Yes","Active","Soup prepared with fresh tomato puree tempered with garlic and olive oil, with no colour, preservative or thickener"
"VLECOSO","VEG LEMON CORIANDER SOUP","120","100","LSD","Veg","Weight Loss","SOUPS","VEG SOUP","Yes","Active","Soup prepared with fresh chopped veggies tempered with garlic and olive oil, with no colour, preservative or thickener"
"VMUSO","VEG MUSHROOM SOUP","120","100","LSD","Veg","Weight Loss","SOUPS","VEG SOUP","Yes","Active","Soup prepared with fresh mushroom puree tempered with garlic and olive oil, with no colour, preservative or thickener"
"DSHOSO","DAL SHORBA","120","100","LSD","Veg","Weight Loss","SOUPS","VEG SOUP","Yes","Active","Soup prepared with fresh dal tempered with garlic and olive oil, with no colour, preservative or thickener"
"CHCSO","CHICKEN CLEAR SOUP","150","130","LSD","Chicken","Weight Loss","SOUPS","CHICKEN SOUP","Yes","Active","Delicious soup with chicken and italian seasonings perfect for a healthy meal"
"CHSCOSO","CHICKEN SPINACH CORN SOUP","150","130","LSD","Chicken","Weight Loss","SOUPS","CHICKEN SOUP","Yes","Active","Soup prepared with chicken pieces fresh spinach puree tempered with garlic and olive oil, with no colour, preservative or thickener"
"CHPUSO","CHICKEN PUMPKIN SOUP","150","130","LSD","Chicken","Weight Loss","SOUPS","CHICKEN SOUP","Yes","Active","Soup prepared with chicken pieces ,fresh pumpkin puree tempered with garlic and olive oil, with no colour, preservative or thickener"
"CHBROSO","CHICKEN BROCCOLI SOUP","150","130","LSD","Chicken","Weight Loss","SOUPS","CHICKEN SOUP","Yes","Active","Soup prepared with chicken pieces ,fresh broccoli puree tempered with garlic and olive oil, with no colour, preservative or thickener"
"CHTOSO","CHICKEN TOMATO SOUP","150","130","LSD","Chicken","Weight Loss","SOUPS","CHICKEN SOUP","Yes","Active","Soup prepared with chicken pieces, fresh tomato puree tempered with garlic and olive oil, with no colour, preservative or thickener"
"CHLECOSO","CHICKEN LEMON CORIANDER SOUP","150","130","LSD","Chicken","Weight Loss","SOUPS","CHICKEN SOUP","Yes","Active","Soup prepared with chicken pieces ,fresh chopped veggies tempered with garlic and olive oil, with no colour, preservative or thickener"
"CHMUSO","CHICKEN MUSHROOM SOUP","150","130","LSD","Chicken","Weight Loss","SOUPS","CHICKEN SOUP","Yes","Active","Soup prepared with chicken pieces, fresh mushroom puree tempered with garlic and olive oil, with no colour, preservative or thickener"
"CHDSHSO","CHICKEN DAL SHORBA","150","130","LSD","Chicken","Weight Loss","SOUPS","CHICKEN SOUP","Yes","Active","Soup prepared with chicken pieces, fresh dal tempered with garlic and olive oil, with no colour, preservative or thickener"
"F/PCSO","FISH/PRAWNS CLEAR SOUP","170","150","LSD","Pescatarian","Weight Loss","SOUPS","PESCATARIAN SOUP","Yes","Active","Delicious soup with fish/prawns and italian seasonings perfect for a healthy meal"
"F/PSCOSO","FISH/PRAWNS SPINACH CORN SOUP","170","150","LSD","Pescatarian","Weight Loss","SOUPS","PESCATARIAN SOUP","Yes","Active","Soup prepared with fish/prawns pieces fresh spinach puree tempered with garlic and olive oil, with no colour, preservative or thickener"
"F/PPUSO","FISH/PRAWNS PUMPKIN SOUP","170","150","LSD","Pescatarian","Weight Loss","SOUPS","PESCATARIAN SOUP","Yes","Active","Soup prepared with fish/prawns pieces ,fresh pumpkin puree tempered with garlic and olive oil, with no colour, preservative or thickener"
"F/PBROSO","FISH/PRAWNS BROCCOLI SOUP","170","150","LSD","Pescatarian","Weight Loss","SOUPS","PESCATARIAN SOUP","Yes","Active","Soup prepared with fish/prawns pieces ,fresh broccoli puree tempered with garlic and olive oil, with no colour, preservative or thickener"
"F/PTOSO","FISH/PRAWNS TOMATO SOUP","170","150","LSD","Pescatarian","Weight Loss","SOUPS","PESCATARIAN SOUP","Yes","Active","Soup prepared with fish/prawns pieces, fresh tomato puree tempered with garlic and olive oil, with no colour, preservative or thickener"
"F/PLCOSO","FISH/PRAWNS LEMON CORIANDER SOUP","170","150","LSD","Pescatarian","Weight Loss","SOUPS","PESCATARIAN SOUP","Yes","Active","Soup prepared with fish/prawns pieces ,fresh chopped veggies tempered with garlic and olive oil, with no colour, preservative or thickener"
"F/PMUSO","FISH/PRAWNS MUSHROOM SOUP","170","150","LSD","Pescatarian","Weight Loss","SOUPS","PESCATARIAN SOUP","Yes","Active","Soup prepared with fish/prawns pieces, fresh mushroom puree tempered with garlic and olive oil, with no colour, preservative or thickener"
"F/PDSHSO","FISH/PRAWNS DAL SHORBA","170","150","LSD","Pescatarian","Weight Loss","SOUPS","PESCATARIAN SOUP","Yes","Active","Soup prepared with fish/prawns pieces, fresh dal tempered with garlic and olive oil, with no colour, preservative or thickener"
"VEGCSO","VEGAN CLEAR SOUP","120","100","LSD","Vegan","Weight Loss","SOUPS","VEGAN SOUP","Yes","Active","Delicious soup with veggies and italian seasonings perfect for a healthy meal"
"VEGSCOSO","VEGAN SPINACH CORN SOUP","120","100","LSD","Vegan","Weight Loss","SOUPS","VEGAN SOUP","Yes","Active","Soup prepared with fresh spinach puree tempered with garlic and olive oil, with no colour, preservative or thickener"
"VEGPUSO","VEGAN PUMPKIN SOUP","120","100","LSD","Vegan","Weight Loss","SOUPS","VEGAN SOUP","Yes","Active","Soup prepared with fresh pumpkin puree tempered with garlic and olive oil, with no colour, preservative or thickener"
"VEGBROSO","VEGAN BROCCOLI SOUP","120","100","LSD","Vegan","Weight Loss","SOUPS","VEGAN SOUP","Yes","Active","Soup prepared with fresh broccoli puree tempered with garlic and olive oil, with no colour, preservative or thickener"
"VEGTOSO","VEGAN TOMATO SOUP","120","100","LSD","Vegan","Weight Loss","SOUPS","VEGAN SOUP","Yes","Active","Soup prepared with fresh tomato puree tempered with garlic and olive oil, with no colour, preservative or thickener"
"VEGLECOSO","VEGAN LEMON CORIANDER SOUP","120","100","LSD","Vegan","Weight Loss","SOUPS","VEGAN SOUP","Yes","Active","Soup prepared with fresh chopped veggies tempered with garlic and olive oil, with no colour, preservative or thickener"
"VEGMUSO","VEGAN MUSHROOM SOUP","120","100","LSD","Vegan","Weight Loss","SOUPS","VEGAN SOUP","Yes","Active","Soup prepared with fresh mushroom puree tempered with garlic and olive oil, with no colour, preservative or thickener"
"VEGDSHSO","VEGAN DAL SHORBA","120","100","LSD","Vegan","Weight Loss","SOUPS","VEGAN SOUP","Yes","Active","Soup prepared with fresh dal tempered with garlic and olive oil, with no colour, preservative or thickener"
"ECLSO","VEG CLEAR SOUP WITH EGGS","150","130","LSD","Eagen","Weight Loss","SOUPS","EGG SOUP","Yes","Active","Delicious soup with egg and italian seasonings perfect for a healthy meal"
"ESCOSO","VEG SPINACH CORN SOUP WITH EGGS","150","130","LSD","Eagen","Weight Loss","SOUPS","EGG SOUP","Yes","Active","Soup prepared with egg pieces fresh spinach puree tempered with garlic and olive oil, with no colour, preservative or thickener"
"EPUSO","VEG PUMPKIN SOUP WITH EGGS","150","130","LSD","Eagen","Weight Loss","SOUPS","EGG SOUP","Yes","Active","Soup prepared with egg pieces ,fresh pumpkin puree tempered with garlic and olive oil, with no colour, preservative or thickener"
"EBROSO","VEG BROCCOLI SOUP WITH EGGS","150","130","LSD","Eagen","Weight Loss","SOUPS","EGG SOUP","Yes","Active","Soup prepared with egg pieces ,fresh broccoli puree tempered with garlic and olive oil, with no colour, preservative or thickener"
"ETOSO","VEG TOMATO SOUP WITH EGGS","150","130","LSD","Eagen","Weight Loss","SOUPS","EGG SOUP","Yes","Active","Soup prepared with egg pieces, fresh tomato puree tempered with garlic and olive oil, with no colour, preservative or thickener"
"ELCOSO","VEG LEMON CORIANDER SOUP WITH EGG","150","130","LSD","Eagen","Weight Loss","SOUPS","EGG SOUP","Yes","Active","Soup prepared with egg pieces ,fresh chopped veggies tempered with garlic and olive oil, with no colour, preservative or thickener"
"EMUSO","VEG MUSHROOM SOUP WITH EGG","150","130","LSD","Eagen","Weight Loss","SOUPS","EGG SOUP","Yes","Active","Soup prepared with egg pieces, fresh mushroom puree tempered with garlic and olive oil, with no colour, preservative or thickener"
"EDSHSO","VEG DAL SHORBA WITH EGG","150","130","LSD","Eagen","Weight Loss","SOUPS","EGG SOUP","Yes","Active","Soup prepared with egg pieces, fresh dal tempered with garlic and olive oil, with no colour, preservative or thickener"
"GFCSO","GLUTEN FREE CLEAR SOUP","120","100","LSD","Gluten Free","Weight Loss","SOUPS","GLUTEN FREE SOUP","Yes","Active","Delicious soup with glutenfree and italian seasonings perfect for a healthy meal"
"GFSCOSO","GLUTEN FREE SPINACH CORN SOUP","120","100","LSD","Gluten Free","Weight Loss","SOUPS","GLUTEN FREE SOUP","Yes","Active","Soup prepared with glutenfree pieces fresh spinach puree tempered with garlic and olive oil, with no colour, preservative or thickener"
"GFPUSO","GLUTEN FREE PUMPKIN SOUP","120","100","LSD","Gluten Free","Weight Loss","SOUPS","GLUTEN FREE SOUP","Yes","Active","Soup prepared with glutenfree pieces ,fresh pumpkin puree tempered with garlic and olive oil, with no colour, preservative or thickener"
"GFBROSO","GLUTEN FREE BROCCOLI SOUP","120","100","LSD","Gluten Free","Weight Loss","SOUPS","GLUTEN FREE SOUP","Yes","Active","Soup prepared with glutenfree pieces ,fresh broccoli puree tempered with garlic and olive oil, with no colour, preservative or thickener"
"GFTOSO","GLUTEN FREE TOMATO SOUP","120","100","LSD","Gluten Free","Weight Loss","SOUPS","GLUTEN FREE SOUP","Yes","Active","Soup prepared with glutenfree pieces, fresh tomato puree tempered with garlic and olive oil, with no colour, preservative or thickener"
"GFLCOSO","GLUTEN FREE LEMON CORIANDER SOUP","120","100","LSD","Gluten Free","Weight Loss","SOUPS","GLUTEN FREE SOUP","Yes","Active","Soup prepared with glutenfree pieces ,fresh chopped veggies tempered with garlic and olive oil, with no colour, preservative or thickener"
"GFMUSO","GLUTEN FREE MUSHROOM SOUP","120","100","LSD","Gluten Free","Weight Loss","SOUPS","GLUTEN FREE SOUP","Yes","Active","Soup prepared with glutenfree pieces, fresh mushroom puree tempered with garlic and olive oil, with no colour, preservative or thickener"
"GFDSHSO","GLUTEN FREE DAL SHORBA","120","100","LSD","Gluten Free","Weight Loss","SOUPS","GLUTEN FREE SOUP","Yes","Active","Soup prepared with glutenfree pieces, fresh dal tempered with garlic and olive oil, with no colour, preservative or thickener"
"VFAW","VEG FARMHOUSE WRAP","170","150","BLSD","Veg","Weight Loss","WRAPS","VEG WRAPS","Yes","Active","whole whear wrap stuffed with exotic veggies toasted in delicious sauce and seasonings."
"VSPW","VEG SMOKED PANEER WRAP","170","150","BLSD","Veg","Weight Loss","WRAPS","VEG WRAPS","Yes","Active","whole wheat wrap stuffed with smoked paneer and veggies toasted with delicious sauce sprinklrd with seasonings."
"VMUW","VEG MUSHROOM WRAP","170","150","BLSD","Veg","Weight Loss","WRAPS","VEG WRAPS","Yes","Active","whole wheat wrap stuffed with mushrooms and veggies toasted with delicious sauce sprinkled with seasonings."
"VCIW","VEG CILANTRO WRAP","170","150","BLSD","Veg","Weight Loss","WRAPS","VEG WRAPS","Yes","Active","whole wheat wrap stuffed with veggies,cottage cheese mixed with cilantro sauce and italian seasonings"
"VPEW","VEG PESTO WRAP","170","150","BLSD","Veg","Weight Loss","WRAPS","VEG WRAPS","Yes","Active","whole wheat wrap stuffed with veggies loaded with delicious creamy pesto sauce sprinkled with seasonings"
"CHAW","CHICKEN ALFREDO WRAP","190","170","BLSD","Chicken","Weight Loss","WRAPS","CHICKEN WRAPS","Yes","Active","whole wheat chicken wrap stuffed with exotic veggies toasted in delicious sauce and seasonings."
"CHSMW","SMOKED CHICKEN WRAP","190","170","BLSD","Chicken","Weight Loss","WRAPS","CHICKEN WRAPS","Yes","Active","whole wheat chicken wrap stuffed with smoked paneer and veggies toasted with delicious sauce sprinklrd with seasonings."
"CHCW","CILANTRO CHICKEN WRAP","190","170","BLSD","Chicken","Weight Loss","WRAPS","CHICKEN WRAPS","Yes","Active","whole wheat chicken wrap stuffed with mushrooms and veggies toasted with delicious sauce sprinkled with seasonings."
